tanggal,nodin,spt,total
2026-01-06,0,1,1
2026-01-15,0,2,2
2026-01-25,0,1,1
2026-01-27,0,1,1
2026-01-28,0,1,1
2026-02-02,0,2,2
2026-02-03,0,1,1
2026-02-04,0,2,2
2026-02-05,0,1,1
2026-02-06,0,1,1
2026-02-09,0,1,1
2026-02-11,0,12,12
2026-02-16,0,3,3
2026-02-19,0,1,1
2026-02-20,0,2,2
2026-02-22,0,1,1
2026-02-23,0,3,3
2026-02-24,0,1,1
2026-02-25,0,1,1
2026-02-26,0,3,3
2026-02-28,0,1,1
2026-03-01,0,2,2
2026-03-02,0,1,1
2026-03-03,0,3,3
2026-03-04,0,1,1
2026-03-05,0,2,2
2026-03-07,0,2,2
2026-03-09,0,4,4
2026-03-11,0,2,2
2026-03-12,0,1,1
2026-03-13,0,2,2
2026-03-14,0,1,1
2026-03-19,0,1,1
2026-03-26,0,3,3
2026-04-01,0,2,2
2026-04-06,0,2,2
2026-04-07,0,1,1
2026-04-09,0,2,2
2026-04-11,0,1,1
2026-04-13,0,5,5
2026-04-14,0,1,1
2026-04-15,0,5,5
2026-04-20,0,2,2
2026-04-21,0,2,2
2026-04-22,0,6,6
2026-04-23,0,1,1
2026-04-29,0,6,6
2026-05-03,0,1,1
2026-05-05,0,1,1
2026-05-06,0,2,2
2026-05-07,0,1,1
2026-05-10,0,2,2
2026-05-11,0,4,4
2026-05-12,0,2,2
2026-05-15,0,1,1
2026-05-17,0,1,1
2026-05-18,0,5,5
2026-05-19,0,1,1
2026-05-20,0,4,4
2026-05-24,0,3,3
2026-05-25,0,5,5
2026-05-26,0,1,1
2026-05-27,0,1,1
2026-06-02,0,5,5
2026-06-03,0,3,3
2026-06-04,0,5,5
2026-06-05,0,2,2
2026-06-07,0,1,1
2026-06-08,0,2,2
2026-06-09,0,3,3
2026-06-10,0,5,5
2026-06-11,0,1,1
2026-06-12,0,2,2
2026-06-17,0,2,2
2026-06-18,0,3,3
2026-06-20,0,3,3
2026-06-22,0,2,2
2026-06-24,0,2,2
2026-06-26,0,1,1
2026-06-27,0,2,2
2026-06-28,0,2,2
2026-06-29,0,3,3
2026-06-30,0,1,1
2026-07-01,0,4,4
2026-07-03,0,2,2
2026-07-06,0,1,1
2026-07-07,0,3,3
2026-07-08,0,2,2
2026-07-09,0,2,2
2026-07-12,0,1,1
2026-07-13,0,2,2
2026-07-14,0,4,4
2026-07-15,0,1,1
2026-07-16,0,2,2
2026-07-19,0,2,2
2026-07-20,0,1,1
2026-07-21,0,2,2
2026-07-22,0,4,4
2026-07-23,0,3,3
2026-07-27,0,1,1
2026-07-29,0,1,1
2026-07-30,0,2,2
2026-08-03,0,2,2
2026-08-04,0,7,7
2026-08-09,0,2,2
2026-08-10,0,1,1
2026-08-11,0,1,1
